StudentID,cohort,cohort term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
280697,2011-12,1,Single,12501,0,High School,High School,On Campus Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298252,2011-12,1,Single,15939,0,High School,High School,On Campus Housing,3500,NA,NA,8312,3500,NA,NA,8516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51316,2011-12,1,Single,66532,0,Middle School,Middle School,Off Campus,10500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301726,2011-12,1,Single,44498,0,Middle School,Middle School,Off Campus,3500,NA,NA,2025,5500,NA,NA,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294670,2011-12,1,Divorced,0,0,Unknown,Unknown,Off Campus,NA,NA,NA,2775,NA,NA,NA,NA,10558,NA,1000,2823,10208,NA,NA,7079.5,NA,NA,NA,NA,NA,NA,NA,NA
298578,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302502,2011-12,1,Single,11476,0,High School,High School,Off Campus,3500,NA,NA,8918,5500,NA,NA,11790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303583,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303817,2011-12,1,Single,0,0,High School,Unknown,Off Campus,12500,NA,NA,10714,12500,NA,NA,8295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305119,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305298,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292345,2011-12,1,Single,33018,0,High School,College,Off Campus,10500,NA,NA,NA,10500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297146,2011-12,1,Single,0,55000,College,College,With Parent,NA,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247693,2011-12,1,Single,9261,0,Unknown,College,Off Campus,7500,NA,NA,NA,10500,NA,NA,7892,7500,NA,NA,4412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291758,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258879,2011-12,1,Single,25282,64431,Unknown,High School,With Parent,7500,NA,NA,NA,11500,NA,NA,NA,10802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304604,2011-12,1,Single,3759,0,Unknown,Unknown,Off Campus,10500,NA,NA,11289,10500,NA,NA,8670,10500,NA,NA,2822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303606,2011-12,1,Single,678,95920,College,College,With Parent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301664,2011-12,1,Single,7314,34347,High School,College,Off Campus,3500,NA,NA,5737,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294616,2011-12,1,Single,0,132240,College,High School,With Parent,7500,NA,NA,NA,7500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300889,2011-12,1,Single,15272,114686,High School,College,Off Campus,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282486,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9627,NA,NA,NA,10854,NA,NA,NA,11180,NA,NA,NA,NA,NA,NA,NA
301625,2011-12,1,Single,12354,170000,High School,High School,With Parent,NA,4732,NA,6146,NA,6991.8,NA,6430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304933,2011-12,1,Single,24677,0,High School,Middle School,Off Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304249,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276063,2011-12,1,Single,0,61132,College,College,With Parent,8500,NA,NA,NA,4500,NA,NA,NA,5500,NA,NA,3795,4199,NA,NA,2865,NA,NA,NA,NA,NA,NA,NA,NA
302782,2011-12,1,Single,0,81035,Middle School,High School,On Campus Housing,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278173,2011-12,1,Single,1013,95000,High School,High School,On Campus Housing,26033,NA,NA,NA,26100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304674,2011-12,1,Single,21427,0,Middle School,Middle School,Off Campus,7500,NA,NA,5550,8500,NA,NA,4857,10500,NA,NA,8865,8669,NA,NA,8207,10500,NA,NA,6313,NA,NA,NA,NA
299844,2011-12,1,Single,0,26514,High School,High School,On Campus Housing,3500,NA,NA,11988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303301,2011-12,1,Single,0,60795,High School,College,With Parent,3899,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297794,2011-12,1,Single,5074,12602,High School,Middle School,With Parent,NA,NA,NA,11588,NA,NA,NA,11640,2000,NA,3300,8761,NA,NA,2400,12716,NA,NA,NA,NA,NA,NA,NA,NA
299434,2011-12,1,Single,0,58256,High School,College,On Campus Housing,1750,5000,2000,4532,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86489,2011-12,1,Single,0,0,Unknown,Unknown,With Parent,NA,NA,NA,6369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297844,2011-12,1,Single,0,0,High School,High School,With Parent,NA,NA,2300,10714,1000,NA,2000,6150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303769,2011-12,1,Single,0,39343,High School,College,With Parent,10362,NA,NA,7924,5589,NA,NA,8750,6500,NA,NA,5167,3250,NA,NA,2858,17502,NA,NA,5775,8824,NA,NA,12373
294946,2011-12,1,Single,0,29793,High School,High School,Off Campus,NA,NA,2000,11988,NA,NA,2800,10990,NA,NA,2000,11033,NA,NA,NA,12116,3000,NA,NA,8294,NA,NA,NA,NA
296831,2011-12,1,Single,0,27422,College,College,With Parent,NA,NA,NA,8969,NA,NA,NA,2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300544,2011-12,1,Single,0,28357,High School,College,With Parent,NA,NA,3000,10074,NA,NA,2000,10990,NA,NA,2000,10533,NA,NA,3000,11044,NA,NA,2000,8616,NA,NA,2000,3133
301696,2011-12,1,Single,0,3672,High School,High School,With Parent,NA,NA,NA,11588,5500,NA,NA,5550,4500,NA,NA,10335,5500,NA,NA,6330,5500,NA,NA,5725,12500,NA,NA,5815
299570,2011-12,1,Single,0,72167,High School,High School,With Parent,3500,NA,NA,NA,3500,NA,NA,NA,4500,NA,NA,2195,5500,NA,NA,1480,5500,NA,2000,2025,3250,NA,NA,483
300407,2011-12,1,Single,0,101029,Middle School,College,With Parent,9232,4759,NA,NA,11500,5316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43733,2011-12,1,Single,0,13735,NA,College,On Campus Housing,3500,NA,NA,12863,5500,NA,NA,11790,6000,NA,NA,4234,6500,NA,NA,13266,11000,NA,NA,6925,2000,NA,NA,6912
298780,2011-12,1,Single,0,49916,College,College,With Parent,5500,NA,2800,7518,9500,NA,NA,NA,6500,NA,NA,2495,12500,NA,NA,NA,12500,NA,NA,NA,5000,NA,NA,NA
304741,2011-12,1,Single,0,46678,High School,College,With Parent,9500,NA,NA,4532,9500,NA,NA,4000,6500,NA,NA,9085,5500,NA,NA,7484,5000,NA,NA,7289,5000,NA,NA,1433
302271,2011-12,1,Single,0,26553,High School,High School,On Campus Housing,337,1000,NA,7026.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298102,2011-12,1,Single,0,43111,Middle School,High School,With Parent,2200,NA,NA,10614,582,NA,NA,9990,NA,NA,NA,3791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297572,2011-12,1,Single,0,52140,High School,High School,On Campus Housing,12000,NA,NA,6418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302398,2011-12,1,Single,0,0,Unknown,High School,On Campus Housing,12000,NA,NA,10714,5500,NA,NA,11640,8500,NA,NA,11183,12500,NA,NA,11894,15000,NA,NA,9198,NA,NA,NA,NA
303669,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299485,2011-12,1,Single,0,43995,High School,High School,On Campus Housing,2400,NA,NA,11014,3500,NA,NA,9325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302870,2011-12,1,Single,3404,15017,Middle School,High School,With Parent,NA,NA,NA,11588,NA,NA,NA,10002,NA,NA,NA,5645,NA,NA,2000,12716,NA,NA,NA,12255,NA,NA,NA,NA
302639,2011-12,1,Divorced,14614,0,Middle School,College,Off Campus,5500,NA,NA,10714,5500,NA,NA,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300964,2011-12,1,Single,0,22486,College,College,With Parent,NA,NA,NA,11588,NA,NA,NA,11790,NA,NA,NA,11183,NA,NA,NA,11244,2200,NA,NA,NA,NA,NA,NA,NA
301202,2011-12,1,Single,4310,0,Middle School,Middle School,On Campus Housing,7500,NA,NA,5550,140,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,NA,NA,NA
302633,2011-12,1,Single,0,30002,Unknown,High School,Off Campus,NA,NA,NA,10364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301530,2011-12,1,Single,0,51310,Unknown,College,With Parent,NA,NA,NA,9764,NA,NA,NA,10090,6500,NA,NA,9085,5500,NA,NA,7684,NA,NA,NA,807,4875,NA,NA,533
304097,2011-12,1,Single,23239,0,Unknown,Unknown,Off Campus,4478,NA,NA,9874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298929,2011-12,1,Single,3218,21910,High School,High School,With Parent,NA,NA,NA,12738,NA,NA,NA,12940,NA,NA,NA,8836,NA,NA,NA,11542,NA,NA,NA,10357,NA,NA,NA,NA
299017,2011-12,1,Single,0,13916,High School,High School,Off Campus,NA,NA,NA,12738,NA,NA,NA,10100,NA,NA,NA,6876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305422,2011-12,1,Single,3074,0,Middle School,Middle School,Off Campus,3750,NA,NA,11588,8300,NA,NA,4908,10500,NA,NA,3995,3000,NA,NA,11042,NA,NA,NA,NA,NA,NA,NA,NA
267051,2011-12,1,Married,22854,0,College,College,Off Campus,3500,NA,NA,2600,5500,NA,NA,1600,2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304879,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304290,2011-12,1,Divorced,31200,0,High School,High School,Off Campus,12500,NA,NA,5400,5250,NA,NA,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28567,2011-12,1,Single,25094,0,Middle School,Middle School,Off Campus,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302550,2011-12,1,Single,0,0,High School,High School,Off Campus,9500,NA,NA,10714,8500,NA,NA,3120,12100,NA,NA,3178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301600,2011-12,1,Single,21735,0,High School,College,With Parent,6500,NA,NA,600,10500,NA,NA,1500,10500,NA,NA,NA,10500,NA,NA,1860,NA,NA,NA,NA,NA,NA,NA,NA
299962,2011-12,1,Single,0,0,Middle School,High School,Off Campus,3200,NA,NA,11114,7500,NA,NA,2600,10500,NA,NA,2595,10500,NA,NA,NA,5250,NA,NA,NA,NA,NA,NA,NA
300561,2011-12,1,Divorced,36320,0,Unknown,Unknown,Off Campus,3750,NA,NA,2500,12500,NA,NA,5550,12500,NA,NA,NA,8124,NA,NA,4970,NA,NA,NA,NA,NA,NA,NA,NA
285848,2011-12,1,Married,116846,0,High School,College,Off Campus,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302176,2011-12,1,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,18896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301803,2011-12,1,Single,1528,0,College,High School,Off Campus,54057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302756,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300304,2011-12,1,Single,0,40472,Unknown,High School,On Campus Housing,4500,NA,NA,3150,4500,NA,NA,5400,5500,NA,NA,4940,4500,NA,NA,10844,7500,NA,NA,5025,12500,NA,NA,7379
301067,2011-12,1,Married,69036,0,Middle School,High School,Off Campus,NA,10021,NA,NA,NA,10421.8,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297371,2011-12,1,Single,0,0,Unknown,College,With Parent,NA,NA,NA,11588,NA,NA,NA,12390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273211,2011-12,1,Single,0,0,College,High School,On Campus Housing,9283,NA,NA,8132,10500,NA,NA,11790,2500,NA,NA,3178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302772,2011-12,1,Single,2069,73993,College,College,With Parent,7000,NA,NA,NA,12400,NA,NA,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280023,2011-12,1,Single,10033,19467,Unknown,High School,With Parent,7453,NA,NA,7362,10500,NA,NA,2536,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300412,2011-12,1,Single,3602,65801,High School,High School,On Campus Housing,11500,NA,745,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
